,category,headline,authors,link,short_description,date
54084,RELIGION,Archbishop Of Canterbury To Open Home To Syrian Refugee Family,"Joel Silverstein, Reuters",https://www.huffingtonpost.com/entry/archbishop-of-canterbury-to-open-home-to-syrian-refugee-family_us_577e8b55e4b0c590f7e851a5,The family will be staying at Justin Welby's London residence starting next month.,2016-07-07
54091,RELIGION,Empire State Building Shines In Celebration Of Ramadan's End,Nick Visser,https://www.huffingtonpost.com/entry/empire-state-building-ramadan_us_577d8fa6e4b01edea78c7c58,Eid al-Fitr is a day of joy following a month of fasting.,2016-07-07
54200,RELIGION,What Pope Francis Has To Say To Ultraconservatives In The Church,Antonia Blumberg,https://www.huffingtonpost.com/entry/what-pope-francis-has-to-say-to-ultraconservatives-in-the-church_us_577d3abae4b0a629c1ab805c,Haters gon' hate.,2016-07-06
54258,RELIGION,Daily Meditation: Revitalize,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-revitalize_us_5776ebd6e4b0416464101008,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-07-05
54483,RELIGION,I Know a Lot of Radical Muslims,"Jacqui Oesterblad, ContributorJust a Rachel Maddow wannabe.",https://www.huffingtonpost.com/entry/i-know-a-lot-of-radical-muslims_us_57777607e4b0746f5647fcef,"I've known a lot of radical Muslims in my life, but none of them have looked the way they do on Fox News. In college, I studied",2016-07-02
54506,RELIGION,Pushing Boundaries In A Culture Of Outrage (Amos 7:7-17),"Julian DeShazier, Contributoremcee, pastor and advocate",https://www.huffingtonpost.com/entry/pushing-boundaries-in-a-culture-of-outrage-amos-77-17_b_10780216.html,"It happens in every tragedy: something unspeakable happens, people speak up - sometimes competently and compassionately - and after a while, things move back to normal. Of course, it's never ""normal"" for the people most affected by the tragedy, but the rest of us seem to forget how much we care about this moment in time that mattered just a few months (weeks?) ago.",2016-07-02
54576,RELIGION,Pope Benedict Claims There Was Once A 'Gay Lobby' At The Vatican,"PHILIP PULLELLA, Reuters",https://www.huffingtonpost.com/entry/pope-benedict-gay-lobby-vatican_us_57769546e4b0a629c1a9c89f,"In an upcoming memoir about his pontificate, Benedict revealed that he broke up a 'gay lobby' that had tried to wield power at the Vatican.",2016-07-01
54588,RELIGION,Daily Meditation: I Hear America Singing,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-i-hear-america-singing_us_5775a99de4b0a629c1a96bf5,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-07-01
54736,RELIGION,Watch Samantha Bee Dismantle Islamophobia In A Matter Of Minutes,Antonia Blumberg,https://www.huffingtonpost.com/entry/samantha-bee-islamophobia_us_57740b3be4b042fba1ced8c6,Hint: It involves actually getting to know Muslim Americans.,2016-06-29
54940,RELIGION,The Dalai Lama And Lady Gaga Joined Forces To Talk About This Essential Human Value,Carol Kuruvilla,https://www.huffingtonpost.com/entry/dalai-lama-lady-gaga-kindness_us_57714fdae4b0f168323a38f4,"For this unlikely duo, kindness is key.",2016-06-27
54989,RELIGION,Daily Meditation: A Carefree Heart,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-a-carefree-heart_us_576dbbece4b017b379f610e7,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-06-27
55009,RELIGION,"Pope Francis Says Church Should Apologize For Discriminating Against Gays, Ask For Forgiveness",,https://www.huffingtonpost.com/entry/pope-francis-church-gays-apology_us_57704d17e4b0dbb1bbbaeb24,"He recalled Church teachings that homosexuals ""should not be discriminated against. They should be respected, accompanied pastorally.""",2016-06-26
55028,RELIGION,The Love That Dare Not Speak Its Name: The Muslim Gay Rights Movement Must Begin,"Khwaja Khusro Tariq, ContributorPoetry enthusiast, psychiatrist, socialist, interfaith activist",https://www.huffingtonpost.com/entry/the-love-that-dare-not-speak-its-name-the-muslim-gay_us_576fee7ae4b06721d4c0b71a,The love must speak its name.,2016-06-26
55059,RELIGION,Open Letter To Reverend Franklin Graham,"Rose Hamid , ContributorCo-founder and President of the Muslim Women of the Carolinas",https://www.huffingtonpost.com/entry/open-letter-to-reverend-f_b_10606026.html,"What you are saying about Islam is dangerous for Muslims, America and the world. Your words fuel hate towards the other and become recruiting tools for terrorist organizations.",2016-06-26
55150,RELIGION,Dealing With Religious Literalists,"Mette Ivie Harrison, ContributorMormon in progress, mother of 5, author of 'The Bishop's Wife'...",https://www.huffingtonpost.com/entry/dealing-with-religious-li_b_10661932.html,,2016-06-25
55155,RELIGION,The seductive illusion of power,"Charles Redfern, ContributorWriter, activist, and clergyman",https://www.huffingtonpost.com/entry/the-seductive-illusion-of_1_b_10644670.html,,2016-06-25
55156,RELIGION,"Across Faith and Identities, NYC is Leading the Fight against Islamophobia","Nisha Agarwal, ContributorCommissioner, NYC Mayor's Office of Immigrant Affairs",https://www.huffingtonpost.com/entry/across-faiths-and-identit_b_10662814.html,,2016-06-25
55158,RELIGION,Will Heaven Be Boring?,"Michael Gilmour, ContributorProfessor of English and biblical literature, Providence Unive...",https://www.huffingtonpost.com/entry/will-heaven-be-boring_b_10663512.html,,2016-06-25
55332,RELIGION,"In Orlando Killer's Hometown, Religious And LGBT People Choose To Build Bridges",Roque Planas,https://www.huffingtonpost.com/entry/orlando-shooting-inter-faith-response-fort-pierce_us_576af6cbe4b0c0252e78407d,They came together to listen to the wisdom of the Bible and the Quran.,2016-06-23
55336,RELIGION,The Democrats Sang A Decades-Old Hymn Of Protest During Their Sit-In,Carol Kuruvilla,https://www.huffingtonpost.com/entry/the-democrats-sang-a-decades-old-hymn-of-protest-during-their-sit-in_us_576c2273e4b0d575ae42152f,This old hymn has often been used as an anthem for freedom.,2016-06-23
55357,RELIGION,Pope Francis Invites Refugees Onto Vatican Stage,,https://www.huffingtonpost.com/entry/pope-francis-invites-refugees-onto-vatican-stage_us_576c20a0e4b0d575ae42123d,The pontiff has urged Europe to welcome migrants with open arms.,2016-06-23
55430,RELIGION,"Outpouring Of LGBT, Muslim Groups Sign Statement Against Bigotry",Antonia Blumberg,https://www.huffingtonpost.com/entry/outpouring-of-lgbt-muslim-groups-sign-statement-against-bigotry_us_576aeb49e4b0c0252e7827f9,"""We are in fact one community.""",2016-06-22
55593,RELIGION,Muslim Students Share Their Experiences With Islamophobia,Savannah OLeary,https://www.huffingtonpost.com/entry/students-at-an-islamic-school-reflect-on-islamophobia_us_576199d3e4b09c926cfdec70,"At this Islamic School, students encounter subtle bigotry on a daily basis.",2016-06-20
55712,RELIGION,Getting to Zero Hunger: faith in action,"Katherine Marshall, ContributorSenior Fellow, Berkley Center for Religion, Peace, and World A...",https://www.huffingtonpost.com/entry/getting-to-zero-hunger-fa_b_10471870.html,,2016-06-19
55955,RELIGION,Daily Meditation: Grief,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-grief_us_5761e782e4b0df4d586f3ce5,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-06-16
55970,RELIGION,New Evidence Suggests 'Gospel Of Jesus's Wife' Papyrus A Forgery,,https://www.huffingtonpost.comhttp://www.theatlantic.com/magazine/archive/2016/07/the-unbelievable-tale-of-jesus-wife/485573/,The Atlantic's Ariel Sabar  reveals the artifact's previously anonymous owner.,2016-06-16
55971,RELIGION,"Islamophobia, Anti-Immigrant Sentiment On The Rise In Germany",,https://www.huffingtonpost.com/entry/islamophobia-on-the-rise-in-germany_us_5762eeeae4b09c926cfe85de,More than 40 percent of Germans surveyed believe Muslims should be forbidden from coming into the country.,2016-06-16
56065,RELIGION,Daily Meditation: Enlightened,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-enlightened_us_57609011e4b05e4be86024c2,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-06-15
56071,RELIGION,Dalai Lama Warns Against Scapegoating Muslims After Orlando Shooting,"David Brunnstrom, Reuters",https://www.huffingtonpost.com/entry/dalai-lama-warns-against-scapegoating-muslims-after-orlando-shooting_us_5761a6d6e4b0df4d586efc4e,"""You cannot generalize,"" said the Tibetan spiritual leader.",2016-06-15
56106,RELIGION,Here's What Queer Muslims Are Saying About The Orlando Shooting,,https://www.huffingtonpost.comhttp://www.npr.org/sections/codeswitch/2016/06/13/481853353/what-queer-muslims-are-saying-about-the-orlando-shooting,Sunday began with one of the deadliest shootings in American history — at least 49 people were killed and more than 50 were,2016-06-14
56134,RELIGION,Bishop Calls Out Homophobia In Religion... And He Isn't Blaming Islam,Cavan Sieczkowski,https://www.huffingtonpost.com/entry/bishop-homophobia-orlando-shooting_us_576024d7e4b0e4fe5143c44c,"""Sadly it is religion, including our own, which targets...and often breeds contempt for gays, lesbians and transgender people.""",2016-06-14
56176,RELIGION,Daily Meditation: One Today,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-one-today_us_575f4554e4b071ec19eefff3,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-06-14
56243,RELIGION,An Important Reminder That The Muslim Community Extends Beyond Faith,Rahel Gebreyes,https://www.huffingtonpost.com/entry/meet-a-muslim-video_us_575eec52e4b071ec19ee9561,"""We are all much more than just one label.""",2016-06-13
56254,RELIGION,How Religious Leaders Are Responding To The Orlando Shooting,Antonia Blumberg,https://www.huffingtonpost.com/entry/religious-leaders-orlando-shooting_us_575ef665e4b071ec19eea15c,Homophobia is an issue many faith communities are grappling with.,2016-06-13
56256,RELIGION,American Muslims Send A Powerful Message Of Solidarity To Orlando Victims,Carol Kuruvilla,https://www.huffingtonpost.com/entry/american-muslims-send-a-powerful-message-of-solidarity-to-orlando-victims_us_575ef3d4e4b071ec19ee9fbe,The tragedy in Orlando has prompted both compassion and debate within the Muslim community.,2016-06-13
56392,RELIGION,The Inspiration Of Muhammad Ali: A Black-American Muslim Perspective,"Sajdah Nubee, ContributorMuslim, Black, Interfaith Presenter, Blogger and Blog Editor, ...",https://www.huffingtonpost.com/entry/the-inspiration-of-muhammad-ali-a-black-american-muslim_us_575c8c9ee4b053e219790b19,"As the world reflected on the life of Muhammad Ali the week after his death, several meaningful emotions surfaced for me",2016-06-11
56417,RELIGION,What Is Original Sin?,"J. H. McKenna, Ph.D., ContributorSenior Lecturer, History of Religious Ideas, University of CA ...",https://www.huffingtonpost.com/entry/what-is-original-sin_b_10418854.html,,2016-06-11
56499,RELIGION,Daily Meditation: Spark Creativity,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-spark-creativity_us_5759f064e4b0ced23ca79b85,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-06-10
56510,RELIGION,Archbishop Of Canterbury Calls Trump's Muslim Ban Un-Christian,Antonia Blumberg,https://www.huffingtonpost.com/entry/justin-welby-donald-trump_us_575b00cfe4b00f97fba83472,Major Christian leader says self-proclaimed Christian candidate's ideas are definitely not Christian.,2016-06-10
56611,RELIGION,Mecca Goes Mega,,https://www.huffingtonpost.comhttp://www.nytimes.com/2016/06/12/magazine/mecca-goes-mega.html,"In the days before rapid sea or air travel, it could take months to travel to Mecca.",2016-06-08
56855,RELIGION,American Muslims Honor Muhammad Ali As A Champion Of Their Faith,,https://www.huffingtonpost.com/entry/american-muslims-honor-muhammad-ali-as-a-champion-of-their-faith_us_5755de39e4b0b60682dea5a7,“We thank God for him.”,2016-06-06
56867,RELIGION,Pope Francis Outlines Strict New Measures For Bishops Who Covered Up Abuse,,https://www.huffingtonpost.com/entry/pope-francis-outlines-strict-new-measures-for-bishops-who-covered-up-abuse_us_5755ba90e4b0c3752dce4e01,The pontiff has pledged zero tolerance for those who abuse children.,2016-06-06
56879,RELIGION,Pope Declares Swedish Nun Who Sheltered Jews During The Holocaust A Saint,Carol Kuruvilla,https://www.huffingtonpost.com/entry/maria-elisabeth-hesselblad-saint_us_5755a93fe4b0eb20fa0e86ba,Maria Elisabeth Hesselblad helped hide Jewish families in her convent during the German occupation of Rome.,2016-06-06
56886,RELIGION,Daily Meditation: Spiritual Sustenance,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-spiritual-sustenance_us_57522bcfe4b0ed593f1489c1,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-06-06
56976,RELIGION,Pope Says To Remove Bishops If Found Negligent In Abuse Cases,,https://www.huffingtonpost.com/entry/pope-remove-negligent-bishops_us_5752d7c6e4b0c3752dcdc758,"Bishops ""must be particularly diligent in protecting those who are the weakest among the people entrusted to them.""",2016-06-04
56979,RELIGION,12 Times Muhammad Ali Showed Us The Incredible Power Of His Faith,Carol Kuruvilla,https://www.huffingtonpost.com/entry/muhammad-ali-faith-islam_us_5751e6c9e4b0ed593f146d32,"""I set out on a journey of love, seeking truth, peace and understanding.""",2016-06-04
57003,RELIGION,Why the Muslim World and the Global South Loved Muhammad Ali,"Atif Choudhury, ContributorLL.M Student, Queen Mary University of London",https://www.huffingtonpost.com/entry/why-the-muslim-world-and-_1_b_10292108.html,"The Greatest remains a hero and role model for countless Muslims around the world. So tonight, I will mourn him and pray for him and his family and loved ones. Tomorrow, I will do everything I can to internalize his message and make my community, nation, and world better in any and every way I can.",2016-06-04
57005,RELIGION,In God We Don't Trust: Growing American Secular Movement Rallies in D.C. Today (Live Video),"Art Levine, ContributorContributing Editor, The Washington Monthly",https://www.huffingtonpost.com/entry/in-god-we-dont-trust-grow_b_10292164.html,"They may be the most invisible interest group in American politics: secular Americans. But attendees of the ""Reason Rally"" at the Lincoln Memorial on Saturday, where as many as 30,00 atheists, agnostics, freethinkers and their allies are expected to attend, want to see that change.",2016-06-04
57103,RELIGION,Daily Meditation: Metamorphosis,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-metamorphosis_us_5750c81ae4b0ed593f13f082,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-06-03
57158,RELIGION,This Ice Cream Shop Kicked Hatred To The Curb. Here's How The Community Said Thank You,Yasmin Nouh,https://www.huffingtonpost.com/entry/ice-cream-shop-unites-against-islamophobia_us_574f5aa6e4b0c3752dcc70fe,"""I would hope anyone would do that for me for the cross I wear around my neck,"" said the store's baker.",2016-06-02
57171,RELIGION,Conservative Jewish Rabbis Take A Stand For Transgender Rights,Antonia Blumberg,https://www.huffingtonpost.com/entry/conservative-jewish-rabbis-take-a-stand-for-transgender-rights_us_574f67fbe4b0eb20fa0cbf33,"""Our Torah asserts that all humanity is created in God's divine image,"" the group said in a resolution.",2016-06-02
57586,RELIGION,North Carolina Community Takes on Anti-Muslim Activist,"Manzoor Cheema, ContributorSocial Justice Activist",https://www.huffingtonpost.com/entry/north-carolina-community_b_10155638.html,"What started as a depressing episode of Warner's visit to North Carolina turned into a rallying call for a movement against all forms of bigotry and oppression. People from different backgrounds and separated in geography, united to fight anti-Muslim bigotry and intertwine this campaign with other social justice movements.",2016-05-28
57660,RELIGION,Spoof Gum Commercial Chews Away At Islamophobia In The Best Possible Way,Lee Moran,https://www.huffingtonpost.com/entry/islamophobia-commercial-cair-gum_us_57483614e4b055bb1171d663,The mock medicine promises to relieve bigotry and intolerance.,2016-05-27
57681,RELIGION,German Cardinal Makes Impassioned Plea For Migrants From A Refugee Boat,Carol Kuruvilla,https://www.huffingtonpost.com/entry/cologne-cathedral-refugee_us_57486540e4b055bb1171f0ba,"""Someone who lets people drown in the Mediterranean also drowns God.""",2016-05-27
57799,RELIGION,Daily Meditation: Be Brave,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-be-brave_us_57464ac3e4b055bb117136fb,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-05-26
58020,RELIGION,Church Of Scotland Ministers Can Now Be In Same-Sex Marriages,,https://www.huffingtonpost.comhttp://www.theguardian.com/uk-news/2016/may/21/church-of-scotland-ministers-same-sex-marriages,"But the church still holds a ""traditional"" view of marriage.",2016-05-23
58070,RELIGION,Daily Meditation: Mountain Song,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-mountain-song_us_57432c27e4b045cc9a7189e2,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-05-23
58131,RELIGION,What is Feng Shui ?,"J. H. McKenna, Ph.D., ContributorSenior Lecturer, History of Religious Ideas, University of CA ...",https://www.huffingtonpost.com/entry/feng-shui-way_b_10096344.html,,2016-05-22
58144,RELIGION,Not in our name: the lies in simplistic narratives about sex and religion,"Katherine Marshall, ContributorSenior Fellow, Berkley Center for Religion, Peace, and World A...",https://www.huffingtonpost.com/entry/not-in-our-name-the-lies_b_10093642.html,,2016-05-22
58304,RELIGION,Daily Meditation: Music From Another World,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-music-from-another-world_us_573e4aa0e4b00e09e89e9aea,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-05-20
58367,RELIGION,Artist Transforms 19th Century Church Into Stunning Kaleidoscope Of Color,Antonia Blumberg,https://www.huffingtonpost.com/entry/our-colour-reflection-liz-west_us_573e052ce4b0646cbeec72f2,"The installation offers visitors a chance to do some ""spiritual pondering,"" said artist Liz West.",2016-05-19
58402,RELIGION,Here's Proof George Washington Would Be Ashamed Of Donald Trump,Tyler Kingkade,https://www.huffingtonpost.com/entry/george-washington-donald-trump-religious-freedom_us_573a6f2be4b060aa781b178c,Our nation's first president felt strongly about religious freedom.,2016-05-19
58403,RELIGION,Daily Meditation: Replenish Your Soul,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-replenish-your-soul_us_573cf5bfe4b0646cbeec1715,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-05-19
58546,RELIGION,5 Bikers Showed Up For An Anti-Muslim Rally. 400 People Had Another Idea.,Carol Kuruvilla,https://www.huffingtonpost.com/entry/islamberg-bike-rally_us_573b4652e4b0aee7b8e7db7e,Love is just better at bringing people together.,2016-05-17
58575,RELIGION,Why A Round-The-Clock Sit-In At This Catholic Church Is Ending After 12 Years,,https://www.huffingtonpost.com/entry/scituate-friends-of-st-frances-xavier-cabrini_us_573b3fc0e4b0ef86171c1787,The Friends of St. Frances Xavier Cabrini have been working in shifts since 2004 to keep the building constantly occupied.,2016-05-17
58589,RELIGION,Pope Criticizes The West's Blind Spot When It Comes To Exporting Democracy,,https://www.huffingtonpost.com/entry/pope-francis-la-croix-interview_us_573b4267e4b0ef86171c19f3,"The pope has frequently attacked what he calls ""cultural colonialism.""",2016-05-17
58601,RELIGION,Outpouring Of Methodist Clergy Pledge Support To LGBT Colleagues,Antonia Blumberg,https://www.huffingtonpost.com/entry/methodist-clergy-lgbt_us_573a4534e4b077d4d6f3d1ab,The church General Conference is reviewing 100 pieces of legislation on LGBT inclusion.,2016-05-17
58663,RELIGION,These Arkansas Monks Have A Knack For Making A Mean Hot Sauce,Carol Kuruvilla,https://www.huffingtonpost.com/entry/monk-hot-sauce_us_573a2258e4b077d4d6f3b3c4,"""Perhaps someone who is living a simple life needs to have something to spice it up.""",2016-05-16
58694,RELIGION,Daily Meditation: Sacred Service,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-sacred-service_us_57364edee4b077d4d6f33139,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-05-16
58818,RELIGION,Catholic Women React to Pope Francis's Latest Initiative For Women,Carol Kuruvilla,https://www.huffingtonpost.com/entry/catholic-women-react-to-pope-franciss-latest-initiative-for-women_us_5734cf39e4b08f96c1827ee5,What would it mean for Catholic women to be able to serve at the altar as deacons? Here's what these women had to say.,2016-05-14
58923,RELIGION,Daily Meditation: Sabbath,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-sabbath_us_57351042e4b077d4d6f2aad4,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-05-13
58946,RELIGION,Pope Francis Says He’s Open To Studying Whether Women Can Serve As Deacons,,https://www.huffingtonpost.comhttp://www.nytimes.com/2016/05/13/world/europe/pope-says-hes-open-to-studying-whether-women-can-serve-as-deacons.html,ROME — Pope Francis suggested on Thursday that he was open to studying whether women can serve as deacons in the Roman Catholic,2016-05-12
58990,RELIGION,New Jersey Mosque Gets Interfaith Support In Building Permit Fight,Antonia Blumberg,https://www.huffingtonpost.com/entry/new-jersey-mosque-amicus_us_5733ac25e4b08f96c18228b0,Religious organizations urged a federal court to approve construction of the mosque.,2016-05-12
59214,RELIGION,Muslim Millennial Women On What It's Like To Be Faithful In America,Carol Kuruvilla,https://www.huffingtonpost.com/entry/muslim-millennial-women_us_5730d5e5e4b016f378968e24,Listen up.,2016-05-10
59290,RELIGION,Daily Meditation: Mi Tierra,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-mi-tierra_us_572d2b8ce4b096e9f0919149,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-05-09
59635,RELIGION,These Sacred Mothers Show Us The Power Of Women's Spirituality,Carol Kuruvilla,https://www.huffingtonpost.com/entry/sacred-mothers-of-religion_us_572a4470e4b0bc9cb0457f5a,Religion as we know it today wouldn't be the same without these moms.,2016-05-05
59729,RELIGION,Daily Meditation: Divine Dance,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-divine-dance_us_57292babe4b0bc9cb04511f1,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-05-04
59854,RELIGION,Pixar Animator Reveals The Magic Ingredient That Adds Soul To Stories,Antonia Blumberg,https://www.huffingtonpost.com/entry/danielle-feinberg-ted-talk_us_572797e9e4b0f309baf17872,This is movie magic in all its splendor.,2016-05-02
59892,RELIGION,Daily Meditation: Wholly Holy,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-wholly-holy_us_5723f1d6e4b0b49df6ab691c,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-05-02
59893,RELIGION,Pope Condemns Pedophilia Following Reports Of Child's Death,"Philip Pullella, Reuters",https://www.huffingtonpost.com/entry/pope-francis-condemns-pedophilia_us_57279196e4b0b49df6abe262,"""We should not tolerate the abuse of minors,"" said the pontiff.",2016-05-02
59896,RELIGION,An Australian Atheist Teamed Up With His Muslim Neighbors To Celebrate Humanity,Carol Kuruvilla,https://www.huffingtonpost.com/entry/faces-of-islam-australian-muslims_us_57277f00e4b01a5ebde627e2,"""'Faces Of Islam' is a project first and foremost about other human beings.""",2016-05-02
60093,RELIGION,"John Boehner Calls Ted Cruz 'Lucifer,' Word Searches Dramatically Spike",Antonia Blumberg,https://www.huffingtonpost.com/entry/lucifer-searches-ted-cruz_us_5723bb14e4b01a5ebde5a7e8,Apparently some people had to look up the devil's lesser-known name.,2016-04-29
60373,RELIGION,Faith Groups Are Rallying Against North Carolina’s Anti-Transgender Law,,https://www.huffingtonpost.comhttp://thinkprogress.org/lgbt/2016/04/25/3772581/faith-opposition-hb2/,This is interfaith activism at its finest.,2016-04-26
60409,RELIGION,Sikhs On 'The Daily Show' Have Perfect Response For People Who Assume They're Muslim,Carol Kuruvilla,https://www.huffingtonpost.com/entry/the-daily-show-sikhs_us_571f8a3fe4b0b49df6a909ca,"""You need to lead with love.""",2016-04-26
60522,RELIGION,Daily Meditation: True Compassion,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-true-compassion_us_571ac140e4b0d912d5fec1da,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-04-25
60657,RELIGION,What Does the Pope See In His Dreams?,"J. H. McKenna, Ph.D., ContributorSenior Lecturer, History of Religious Ideas, University of CA ...",https://www.huffingtonpost.com/entry/pope-sees-sacred-writers_b_9765750.html,"A story is circulating that in a recent dream the Pope saw original scripture writers in the act, and this might enlighten us.",2016-04-23
60762,RELIGION,Will Pope Francis Dump The Just War Doctrine?,,https://www.huffingtonpost.comhttp://theweek.com/articles/619107/pope-francis-dump-just-war-doctrine,Pope Francis gives every indication of wanting to go down as one of the great reformers in the history of the Roman Catholic,2016-04-21
61127,RELIGION,Daily Meditation: Sun-Kissed,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-sun-kissed_us_571169cfe4b0018f9cba2816,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-04-18
61262,RELIGION,"Faces of health, poverty, and faith in Guatemala","Katherine Marshall, ContributorSenior Fellow, Berkley Center for Religion, Peace, and World A...",https://www.huffingtonpost.com/entry/faces-of-health-poverty-a_b_9711158.html,,2016-04-16
61454,RELIGION,Why This Muslim-American Couple Invited Strangers To Ask Them Anything,Carol Kuruvilla,https://www.huffingtonpost.com/entry/why-this-muslim-american-couple-invited-strangers-to-ask-them-anything_us_570e9b92e4b0ffa5937dfb0c,"""We wanted to replace the trauma and terror with love by way of doughnuts, coffee, flowers and good conversations.""",2016-04-14
61596,RELIGION,Watch Conan O'Brien Get In A Snowball Fight With Buddhist Monks,Antonia Blumberg,https://www.huffingtonpost.com/entry/conan-obrien-buddhist-temple_us_570d416be4b01422324a5bee,The comedian doesn't exactly find peace at the South Korean temple.,2016-04-12
61738,RELIGION,American Catholics Seek Clarity On Pope Francis' Love Treatise,"GINA CHERELUS, Reuters",https://www.huffingtonpost.com/entry/pope-francis-amoris-laetitia_us_570bc7f1e4b0885fb50d93c8,"The pope's apostolic exhortation ""Amoris Laetitia"" pushes for more love in the church. But what will that look like?",2016-04-11
61818,RELIGION,More to Just War Than Just War," Logan (Mehl-Laituri) Isaac, ContributorAuthor of #ForGodandcountry & #Reborn4thJuly, speaker, educato...",https://www.huffingtonpost.com/entry/more-to-just-war-than-jus_b_9653072.html,"Casting JWT from Catholic social teaching is to throw the baby out with the bathwater, it is to take away what little the Church has offered her wounded warriors.",2016-04-10
62032,RELIGION,Pope Francis Document On Family And Marriage Could Be A Landmark For Church,,https://www.huffingtonpost.com/entry/pope-francis-marriage-family_us_5706dbb2e4b0b35e00af335d,Francis may address the possible re-integration into the Church of Catholics who divorce.,2016-04-07
62066,RELIGION,Interfaith Clergy Join Forces To Overturn North Carolina's Anti-LGBT Legislation,,https://www.huffingtonpost.comhttp://www.newsobserver.com/news/politics-government/state-politics/article70052712.html,"“We are morally outraged.""",2016-04-07
62164,RELIGION,Daily Meditation: Wildly Calm,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-wildly-calm_us_570445b5e4b0b90ac2709804,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-04-06
62230,RELIGION,Adorable Stray Cats Steal The Show During Russian Monastery's Ritual,Carol Kuruvilla,https://www.huffingtonpost.com/entry/optina-monastery-cat-video_us_5704012ee4b0daf53af1275a,These furry felines unapologetically strut their stuff in this touching video.,2016-04-05
62309,RELIGION,Muslim And Jewish Volunteers Unite To Aid A Struggling Detroit School,Rahel Gebreyes,https://www.huffingtonpost.com/entry/muslim-and-jewish-volunteers-unite-to-aid-a-struggling-detroit-school_us_56fea80fe4b083f5c607916a,"""It's two faiths coming together for one cause.""",2016-04-04
62342,RELIGION,Daily Meditation: Prayer For The Earth,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation-prayer-for-the-earth_us_56fef82ee4b0a06d5805cfa5,"We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness",2016-04-04
62504,RELIGION,The Top 10 Best Cultural Representations Of God,,https://www.huffingtonpost.comhttp://www.theguardian.com/culture/2016/apr/01/10-best-representations-god-culture-morgan-freeman-alanis-morissette,"The Guardian lists everything from Michelangelo's ""The Creation of Adam"" to Sir Ralph Richardson in the movie ""Time Bandits.""",2016-04-01
